Mean,4mm,8mm,6.5mm,11mm
5,1.018,0.131,0.501,0.405
10,0.815,0.48,0.52,0.429
20,1.145,0.721,0.71,0.646
40,1.236,0.865,0.932,0.799
60,1.328,0.957,1.05,0.899
80,1.375,1.049,1.1,0.997
100,1.415,1.101,1.115,1.029
125,1.385,1.123,1.139,1.066
160,1.429,1.219,1.191,1.181
170,1.48,1.26,1.184,1.226
200,1.488,1.296,1.233,1.263
220,1.487,1.259,1.188,1.262
250,1.501,1.312,1.225,1.311
300,1.472,1.328,1.245,1.344
350,1.478,1.318,1.229,1.354
400,1.479,1.31,1.22,1.343
150_1,1.36,1.164,0.742,1.062
150_2,1.431,1.137,1.007,1.084
150_3,1.416,1.113,1.125,1.064
150_4,1.401,1.127,1.105,1.062
