SIGBF,4mm,8mm,6.5mm,11mm
5,5.69,1.173,8.826,39.33
10,5.39,28.89,17.34,81.53
20,10.9,55.93,28.9,143.48
40,11.9,65.1,43.56,179.75
60,14.7,82,55.31,214.35
80,16.29,96.52,59.84,246.25
100,17.82,109.19,64.16,268.6
125,17.45,116.89,68.91,293.67
160,18.92,129.43,72.72,327.66
170,19.35,129.97,65.77,331.26
200,19.03,136.23,72.23,352.51
220,21.52,141.75,75.21,378.48
250,21,148.24,76.79,386.68
300,20.97,147.49,77.73,390.5
350,21.2,146.39,77.23,404.35
400,21.65,151.9,81.11,414.95
150_1,13.9,101.78,17.08,226.8
150_2,18.47,114.96,53.76,296.75
150_3,18.64,119.53,71.24,306.6
150_4,17.53,119.18,68.16,310.93
