PCMR(cm/s),4mm,8mm,6.5mm,11mm
5,1.62,0.75,1.81,1.13
10,0.69,1.74,1.46,1.38
20,2.61,1.53,1.69,1.88
40,3.02,2.89,3.23,2.54
60,3.65,3.02,4.37,2.96
80,4.09,3.96,5.69,3.76
100,5.11,4.58,5.04,4.18
125,4.7,5.11,5.6,5.17
160,5.57,6.31,7.16,5.89
170,6.88,6.88,5.43,6.29
200,6.44,7.8,7.46,7.53
220,10.72,8.7,8.24,8.43
250,8.32,9.7,8.95,9.29
300,13.18,11,11.25,11.24
350,12.18,12.1,12.14,13.25
400,14.51,14.04,12.47,14.67
150_1,4.38,5.96,2.45,4.67
150_2,6.04,5.49,4.82,5.6
150_3,5.81,5.61,7.39,5.45
150_4,5.5,5.62,6.18,5.36
